review,label
"Such energy and vitality. You just can't go wrong with Busby Berkley films and this certainly must be his best. Of course the choreography is wonderful, but also the banter between Cagney and Blondell is so colorful and such a delight. Don't miss this one.",1
"but Thomas Ian Griffith just doesn't have the polish that a big bucks actor has, granted this was made 5+ years ago. Some of the humorous lines could have been timed to make this not only action, but comedy. And how do you get KC out of Katia Koslovska anyhow? Plummer's character was so corny, he would have fit better in a Bullwinkle toon. Personally, if action flicks are going to show skin -- I'd have liked to have seen equal time between female/male, otherwise don't show any.",0
"Why this film was only released in 4 states is beyond me. I thought this film was a divine story. The name says it all: Seeing Other People. This movie has more logic than laughs, which I suppose is why it works so well. Common sense also makes an appearance in what would seem to be another puerile sex comedy. Alice is getting her feet frozen in the cold, when she feels irrationally about the way she might perform for her fiancé, not just sexually, but as a partner, and friend etc. This starts what seems to be an almost archetypal journey for the both of them. One fling after another leads to trouble, as if it wasn't a bad idea from the start. Witty dialogue and comic set-ups make this one funny as hell! Nicholson and Mohr set the tone of the film early on, and keep the promise they anticipate. Other highlights are Lauren Graham, Andy Richter, and Helen Slater(in her first theatrical film in 10 years!). Climax begins to take an insane turn, but a simple ending makes this one far more enjoyable than most movies today. Mohr fans will see something different in his Ed character, and fans of Helen Slater will enjoy her shiny moments of a quick, but excellent come-back. Any Richter takes home the award for most moralistic character. Romantic and funny, or just plain fun. Seeing Other People is a gem, which needs to be noticed.",1
"I'm not here to tell you ""Armored"" is Kubrickian, Hitchcockian or Fellini-esquire. Nope. Referenced directors are more like Don Siegel (""Charlie Varrick"") and Walter Hill (""The Warriors""). Those two helmers didn't fool around with niceties like putting women in their movies. No skirts need apply. They unapologetically made guy movies. Guns, lots of guns. Men met violent death with a twitch of the jaw. Their movies were like a sap to the head. You want a friend? Get a dog.<br /><br />""Armored"" is so a guy movie. Dueling armored trucks? Bloody gunshot wounds? Exploding money? If that doesn't get the lizard part of your brain excited, then stay away.<br /><br />At 88 minutes, ""Armored"" is all muscle without an ounce of fat. We meet six security guards who drive armored trucks, three per truck. The six, led by Matt Dillon, scheme up a fake hijack involving two trucks. Their mission one day is to deliver $42 million from the federal reserve (I think). The idea is to drive both trucks to a warehouse, stash the cash, then stage a hijack. Sure, the cops will suspect them, but if they stick together they'll get through it.<br /><br />Trouble is, one of the six, played by Columbus Short, is a holdout. At first. But he faces eviction. And he's the guardian for his messed up younger brother. He needs cash bad.<br /><br />Matt Dillon cajoles, pleads, persuades the holdout. No blood on anyone's hands. A clean getaway. All good, no bad. You'll be rich forever. Blue skies smiling at you ...<br /><br />Right.<br /><br />Everything goes to hell, of course. It's one damned thing after another and the stakes keep going up. And it almost all happens claustrophobically inside an abandoned warehouse somewhere in Los Angeles. In fact, the movie goes out of its way to project a backdrop of industrial urban decay. I happen to like industrial urban decay.<br /><br />Kudos to Matt Dillon, who plays the top bad dog. He goes from charming to disappointed to frustrated to outraged to totally effing insane in the course of the movie. Love that guy.<br /><br />Also, credit is due to the menacing, throbbing, blistering and totally sinister electronic soundtrack by John Murphy. I am guessing he's heard a few Tangerine Dream records.<br /><br />Also, it's surprising that this is a PG-13 movie. I caught one  one!  f-bomb in this entire movie about violent tough-guy robbers. On some level, I like that. Take the kids.<br /><br />The director is Nimrod Antal, a Hungarian who made a fine noir set in the Budapest subway system called ""Kontroll."" Screenwriter is an out-of-nowhere guy called James V. Simpson.<br /><br />A lot of the people in this movie are just starting out. I am willing to bet the esteem given to this movie will rise as time goes on and these filmmakers advance in their careers.",1
"Most college students find themselves lost in the bubble of academia, cut off from the communities in which they study and live. Their conversations are held with their fellow students and the college faculty. Steven Greenstreet's documentary is a prime example of a disillusioned college student who judges the entire community based on limited contact with a small number of its members.<br /><br />The documentary focused on a small group of individuals who were portrayed as representing large groups of the population. As is usual, the people who scream the most get the most media attention. Other than its misrepresentation of the community in which the film was set, the documentary was well made. My only dispute is that the feelings and uproar depicted in the film were attributed to the entire community rather than the few individuals who expressed them.<br /><br />Naturally it is important to examine a controversy like this and make people aware of the differences that exist between political viewpoints, but it is ridiculous to implicate an entire community of people in the actions of a few radicals.",0
"Curse of the Wolf starts as reluctant Werewolf Dakota (Renee Porada) manages to escape from her 'pack' & into the city where 6 months later she is working in a vet's. The rest of Dakota's pack are unhappy & want her back, their leader Michael (Todd Humes) says she will come back to them but fat Werewolf Franklin (Brian Heffron) picks her scent up & the pack decides to force the issue & get her back using her affections for her human friends including her boyfriend Danny (Dennis Carver). Can Dakota save Danny & finally rid herself of her Werewolf pursuers? I doubt you will care...<br /><br />Executive produced, written & directed by Len Kabasinski who also had a fairly large role in the film as Stick I was dreading watching Curse of the Wolf since Kabasinski was the man behind Swamp Zombies (2005) which is surely one of the worst films ever made, ever. Unfortunately my worst fears were confirmed & one has to say that Curse of the Wolf is a truly horrible film in every way, both conceptually & technically. Curse of the Wolf is the sort of film where the low budget dictates what happens & the script rather than the script dictating the budget. You get the impression that everything was written & conceived to take advantage of the few sets & actor's they had, you can almost imagine the makers saying we've got a few actor's, some basic equipment & a couple of locations so lets make a horror film around them. The story is awful (Michael finds the location of Dakota by looking at a large dog two women are taking for a walk), the character's are awful (a big fat Werewolf guy who farts a lot), the dialogue is awful (just about every line in the thing) & there's never any motivation for anything that happens (why are the pack so desperate to get Dakota back?), people just do seemingly random things & since director Kabasinski's background is in martial arts he insists in inserting lots of random martial arts fight sequences into the plot. No offence but this is meant to be a horror film not a martial arts one, isn't it? In fact apart from the presence of a few Werewolves you would be hard pushed to describe Curse of the Wolf as anything approaching a horror film. At almost two hours in length it feels like it goes on forever & is so slow & uneventful it's just not funny.<br /><br />Director Kabasinski was obviously working on a low budget but film-making this bad should be a crime. There's no continuity between shots, the fight scenes look awful & are so poorly staged it's untrue & it's sometimes impossible to follow what's going on be it because of the choppy editing & poor camera angles or the fact that it is sometimes so dark that you literally can't see a thing. Seriously there are times during Curse of the Wolf where the screen is totally black & you can't see a thing, I would hate to have to sit through this watching it on a fuzzy low resolution VHS. The sound is awful too, you can hear the wind & breeze against the microphone! There are also lots of other unpleasant & unwanted ambient sounds during just about every scene. Did the production actually have any lighting gear while making this? It doesn't feel like it. The special effects mostly consist of Werewolf mask's that look like the sort of thing shops sell at Halloween for the kids, basically they look awful.<br /><br />Technically Curse of the Wolf is as bad as they come, I'm sorry because I know this had a low budget but it's truly horrible to sit through & try to garner some entertainment from. This is high school film student quality, I'm sorry if that sounds unkind but it's a fact. The acting is, well you can probably guess so I'll stop myself right here before I say something else negative, I mean I've done enough of that already & I really take no pleasure in it.<br /><br />Curse of the Wolf is terrible, both conceptually & technically this is a real chore to sit through. Curse of the Wolf is the type of film where while your watching it time seems to stand still, it's the type of film that lasts for almost two hours yet feels like two years. One of the worst films you or I am ever likely to see, definitely one to avoid.",0
"Walter Matthau is wonderful as the ""philandering"" dentist Dr. Julian Winston whose frequent fibs to girlfriend Goldie provide textbook proof of the dangers of lying. Goldie Hawn's touching kook Toni Simmons certainly deserved to win her Oscar. Ingrid Bergman's work as the stiff-as-starch nurse Stephanie is also touching to watch as she comes out of her shell, slowly and nervously. This is a great movie to watch in the springtime, or any time for that matter. It's very underrated; I never heard about it until I found it in the video store, and what a find!",1
"Forget everything that you have ever read about the Mallachi Brothers' straight-to-video release ""Snakes on a Train,"" especially if it was a negative review. This movie is way more fun than the movie that it obviously rips off: ""Snakes on a Plane."" Frankly, I am surprised that more people aren't rhapsodizing about this low-budget Asylum Release. Instead, most reviews that I've read have nothing kind or critically worthwhile to say except the usual stupid herd mentality idiocy, such as the acting was amateurish, the action didn't numerically live up to the advertising, and the entire thing amounted to a hideous waste of time. Of course, it doesn't help that the title is a tip-off to the obvious rip-off nature of this film. Actually, I felt that ""Snakes on a Train"" surpassed ""Snakes on a Plane"" for a number of reasons.<br /><br />First, the producers used real, genuine snakes until the last fifteen minutes when they substituted either giant fake snake heads or computer generated a super-giant snake that consumed an entire Amtrak like train. How many movies have a snake gobble a train? As a result, ""Snakes on a Train"" ranks as the first movie to scale that height.<br /><br />Second, this low-budget movie employs some grisly gross-out effects. The woman who coughs up baby snakes--real ones--was fantastic! The special effects of her forearms getting tore up later in the movie were visually enticing! Also, you get to see a little white girl get eaten alive by a snake. She was as cute as she could be, no more than 10 years old or thereabouts, and she died screaming all the way as nasty olé giant mister snake head swallows her. Not only kids in jeopardy but kid eaten! This is exactly the kind of graphic material that you won't find in 99 % of all theatrical Hollywood releases. Of course, she wasn't eaten by a real snake, but it's the subversive thought that counts.<br /><br />Third, it is one of those cursed upon movies where Alma (Julia Ruiz of ""That Guy""), the chief female character--no heroine--has a curse placed on her by her parents because she didn't marry the man that they recommended. As a result, she is filled with snakes, coughs up quantities of green radiator fluid slop then chucks up a baby snake. Imagine Medusa, the mythical characters that had snakes for hair, only with the snakes in her belly. Her psycho-shaman type boyfriend collects all the snakes that come out of her because they are heading to L.A. on a train to see a relative of his who can put all the snakes back inside of her and return her to normal. Talk about a whacked out character performing stomach churning routines. Prepare yourself for lots of slime, blood, and gore. <br /><br />Fourth, the train had only about twenty or so passengers, not hundreds. Nevertheless, it looked like the Mallachi Brothers filmed this above-average horror flick on-board a real train with real snakes and they played up the swaying motion of the train on the tracks.<br /><br />Fifth, the snakes slither around for the first hour, quietly infiltrating the train before they turn weird and attack everybody. In other words, it's suspense, suspense, suspense, before people start dying from snake bites.<br /><br />Up until the last five minutes when the snake grows bigger than the runaway train and swallows it, ""Snakes on a Train"" is warped, wonderful, and way-out. It doesn't have the Attention Deficit editing of a big league Hollywood movie. It's a fantasy about an unfortunate Hispanic women victimized because of her feminist, at-odds-with-society attitude. <br /><br />Altogether, you've got gory fantasy type stuff; suspenseful snakes slithering around the train, and am over-the-top gigantic snake at the end. Incidentally, they get on board the train because a bunch of other Mexicans have bribed a train employee and the Mexicans on board think that the girl is so cute that they let her and her boyfriend on free.<br /><br />I think it's better than ""Snakes on a Plane"" if you want a tough, little, independently produced horror movie.",1
"This is short and to the point. The story writing used for Star Trek: Hidden Frontier is surprisingly good. Acting is all over the map, but the main characters over the years seem to have worked at improving their skills. It is hard to believe that this series has been going on for almost 7 years and will be coming to end mid-May 2007.<br /><br />I will not rehash what has already been said about the sets and graphics. Considering this is all-volunteer, for no profit, it is pretty amazing.<br /><br />If this was being ranked as a professional production, I would have to give it a 5 for a good story but terrible sets. However, as a fan-based production I have to give it an excellent rating as with the exception with a few other efforts, this is in a league of its own. For sheer volume, I don't think this has been matched. Congratulations to the cast and crew for an effort that many admire.",1
"While sleeping, Mr. Eko is assigned by his brother Yemi (Adetokumboh McCormack) in a dream to go with John Locke to disclose the meaning of the ""?"" symbol. With the pretext of chasing Henry, Mr. Eko brings John with him and they find a second hatch called ""Pearl"" underground the question mark symbol marked on the field, where a video explains that the other hatch is a psychological experiment and people behavior pressing the buttons of the computer every 108 minutes are actually subjects. Meanwhile, Jack unsuccessfully tries to save Libby.<br /><br />In this episode, John Locke loses his faith in the island when he finds that they have been monitored in the hatch. The disgusting Michael sees the anguishing Libby wishing that she was dead, while Hurley, Jack, Kate and Sawyer are suffering her pain, in a deep emotional contrast. My vote is eight.<br /><br />Title (Brazil): Not Available",1
